cve,cve_description,sbom,component,component_name
https://data.siemens-energy.com/cybersec/cve/CVE-2025-20207,"A vulnerability in Simple Network Management Protocol (SNMP) polling for Cisco Secure Email and Web Manager, Cisco Secure Email Gateway, and Cisco Secure Web Appliance could allow an authenticated, remote attacker to obtain confidential information about the underlying operating system.

This vulnerability exists because the appliances do not protect confidential information at rest in response to SNMP poll requests. An attacker could exploit this vulnerability by sending a crafted SNMP poll request to the affected appliance. A successful exploit could allow the attacker to discover confidential information that should be restricted. To exploit this vulnerability, an attacker must have the configured SNMP credentials.",https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fpolling%400.3.2,polling
https://data.siemens-energy.com/cybersec/cve/CVE-2025-1015,"The Thunderbird Address Book URI fields contained unsanitized links. This could be used by an attacker to create and export an address book containing a malicious payload in a field. For example, in the “Other” field of the Instant Messaging section. If another user imported the address book, clicking on the link could result in opening a web page inside Thunderbird, and that page could execute (unprivileged) JavaScript. This vulnerability affects Thunderbird < 128.7.",https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fclick%408.1.3,click
https://data.siemens-energy.com/cybersec/cve/CVE-2025-0860,"The VR-Frases (collect & share quotes) plugin for WordPress is vulnerable to Reflected Cross-Site Scripting via several parameters in all versions up to, and including, 3.0.1 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick a user into performing an action such as clicking on a link.",https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fclick%408.1.3,click
https://data.siemens-energy.com/cybersec/cve/CVE-2025-0104,A reflected cross-site scripting (XSS) vulnerability in Palo Alto Networks Expedition enables attackers to execute malicious JavaScript code in the context of an authenticated Expedition user’s browser if that authenticated user clicks a malicious link that allows phishing attacks and could lead to Expedition browser-session theft.,https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fclick%408.1.3,click
https://data.siemens-energy.com/cybersec/cve/CVE-2025-0170,"The DWT - Directory & Listing WordPress Theme is vulnerable to Reflected Cross-Site Scripting in versions up to, and including, 3.3.3 due to insufficient input sanitization and output escaping on the 'sort_by' and 'token' parameters. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick a user into performing an action such as clicking on a link.",https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fclick%408.1.3,click
https://data.siemens-energy.com/cybersec/cve/CVE-2025-0215,"The UpdraftPlus: WP Backup & Migration Plugin plugin for WordPress is vulnerable to Reflected Cross-Site Scripting via the showdata and initiate_restore parameters in all versions up to, and including, 1.24.12 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick an admin user into performing an action such as clicking on a link.",https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fclick%408.1.3,click
https://data.siemens-energy.com/cybersec/cve/CVE-2025-0393,"The Royal Elementor Addons and Templates plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to, and including, 1.7.1006. This is due to missing or incorrect nonce validation on the wpr_filter_grid_posts() function. This makes it possible for unauthenticated attackers to inject malicious web scripts via a forged request granted they can trick a site administrator into performing an action such as clicking on a link.",https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fclick%408.1.3,click
https://data.siemens-energy.com/cybersec/cve/CVE-2025-0470,"The Forminator Forms – Contact Form, Payment Form & Custom Form Builder plugin for WordPress is vulnerable to Reflected Cross-Site Scripting via the title parameter in all versions up to, and including, 1.38.2 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick a user into performing an action such as clicking on a link.",https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fclick%408.1.3,click
https://data.siemens-energy.com/cybersec/cve/CVE-2025-0729,A vulnerability was found in TP-Link TL-SG108E 1.0.0 Build 20201208 Rel. 40304. It has been rated as problematic. This issue affects some unknown processing. The manipulation leads to clickjacking. The attack may be initiated remotely. Upgrading to version 1.0.0 Build 20250124 Rel. 54920(Beta) is able to address this issue. It is recommended to upgrade the affected component. The vendor was contacted early. They reacted very professional and provided a pre-fix version for their customers.,https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fclick%408.1.3,click
https://data.siemens-energy.com/cybersec/cve/CVE-2025-0808,"The Houzez Property Feed plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to, and including, 2.4.21. This is due to missing or incorrect nonce validation on the ""deleteexport"" action. This makes it possible for unauthenticated attackers to delete property feed exports via a forged request granted they can trick a site administrator into performing an action such as clicking on a link.",https://data.siemens-energy.com/cybersec/bom/urn%3Auuid%3A8084a1bc-de30-45a7-bd9f-b49107ee2ad9,https://data.siemens-energy.com/cybersec/component/pkg%3Apypi%2Fclick%408.1.3,click
